Symbol, Sector, PE Ratio, PEG Ratio, Price-to-Book Ratio, EV to Revenue
ACN, TRADE & SERVICES, 28.15, 2.975, 8.69, 3.043
MDT, LIFE SCIENCES, 29.62, 3.04, 2.02, 3.895
ETN, TECHNOLOGY, 31.46, 2.11, 3.994, 3.625
JCI, TRADE & SERVICES, 18.51, 1.235, 2.809, 2.08
TT, LIFE SCIENCES, 25.0, 2.47, 6.94, 2.868
CRH, MANUFACTURING, 14.18, 2.463, 1.458, 1.044
HZNP, LIFE SCIENCES, 61.49, 1, 5.1, 7.05
STE, LIFE SCIENCES, 185.07, 6.88, 3.333, 4.665
JHX, MANUFACTURING, 24.01, 1.179, 6.14, 2.567
ALLE, TRADE & SERVICES, 17.75, 2.033, 12.19, 3.715
